USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
andrius,omnitel,cm10.1,5,1,1367005074358,TCP,com.facebook.katana,-1,246,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074562,TCP,com.facebook.katana,-1,247,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074562,TCP,com.facebook.katana,-1,243,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074562,TCP,com.facebook.katana,-1,1177,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074562,TCP,com.facebook.katana,-1,260,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074562,TCP,com.facebook.katana,-1,271,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074562,TCP,com.facebook.katana,-1,121,10.139.202.228,31.13.64.32,43225,443,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074562,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,43225,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074562,TCP,com.facebook.katana,1,52,69.171.245.80,10.139.202.228,5228,55307,0,1,0
andrius,omnitel,cm10.1,5,1,1367005074562,TCP,com.facebook.katana,1,52,31.13.64.32,10.139.202.228,443,43225,0,1,0
